date,基准20日,多窗口融合,双动量,波动率加权,Frog-in-the-Pan
2023-02-06,835564.29855,839330.8734000002,757498.8763999995,869834.38485,829816.0581999999
2023-02-07,835306.09855,839048.9734000001,757265.1763999995,870464.38485,831103.7581999998
2023-02-08,830775.69855,837435.2734000001,753158.2763999995,867456.5848500001,826941.9581999998
2023-02-09,848464.3985499999,851437.9734000002,769193.1763999995,880659.98485,843282.8581999999
2023-02-10,845476.29855,850087.4734,766482.9763999995,881039.9848500001,841767.9581999998
2023-02-13,861364.4985499999,864705.1734000002,780884.5763999994,894297.18485,856540.3581999998
2023-02-14,860118.69855,863200.2734000001,779756.1763999995,893594.9848499999,856535.4581999998
2023-02-15,854778.29855,857727.1734000002,774913.3763999995,890628.58485,851679.6581999998
2023-02-16,852158.9985499999,858699.1734000001,772537.3763999995,891756.38485,850628.3581999997
2023-02-17,838014.6985500001,851991.6734000002,759714.0763999994,883865.58485,838925.8581999998
2023-02-20,855967.29855,864105.4734000001,775990.8763999995,899712.18485,861713.9581999999
2023-02-21,852230.4985499999,857669.5734000001,772605.0763999994,896625.9848500001,859270.7581999998
2023-02-22,845553.79855,856137.9734000002,766550.5763999994,891783.5848499999,851732.6581999998
2023-02-23,842980.59855,849220.3734000002,764218.8763999995,888049.98485,848233.8581999998
2023-02-24,831648.09855,843745.3734000002,753944.4763999995,879429.9848499999,837270.5581999999
2023-02-27,833058.29855,843879.4734000001,755221.4763999995,882983.1848500001,839543.6581999998
2023-02-28,836654.09855,847087.9734000001,758482.0763999994,884433.38485,842854.7581999998
2023-03-01,843843.3295499998,851572.7286,765000.3145499995,890517.7973500001,852142.1271499998
2023-03-02,844860.1295499997,851353.2286,765920.9145499995,892898.29735,853168.6271499997
2023-03-03,840069.9295499998,843432.5286000001,761576.5145499995,888606.1973500003,848331.0271499996
2023-03-06,838830.9295499998,842046.0286000001,760454.4145499995,885493.0973500002,847079.9271499997
2023-03-07,825575.3295499998,822555.1286000002,748436.7145499996,869959.3973500002,833693.3271499998
2023-03-08,826891.7295499998,824801.4286000001,749630.3145499995,873649.0973500002,835022.2271499997
2023-03-09,825398.9295499998,823058.2286000003,748277.1145499995,873875.8973500002,833514.2271499997
2023-03-10,812660.1295499997,811293.0286000001,736730.9145499995,861238.69735,820649.8271499998
2023-03-13,830192.9295499998,829382.7286000001,752624.2145499996,878395.9973500001,838355.4271499998
2023-03-14,825099.7295499998,822492.8286000001,748007.7145499996,871933.69735,833211.8271499998
2023-03-15,822826.1295499997,818852.1286000002,745944.1145499995,874449.1973500001,830915.1271499998
2023-03-16,816826.9295499998,810693.8286000001,740506.8145499995,864053.8973500002,824857.1271499997
2023-03-17,826589.3295499997,823221.7286000001,749355.9145499995,883831.39735,834713.9271499997
2023-03-20,822212.3295499998,818899.5286000001,745388.5145499995,881554.3973500001,830293.2271499997
2023-03-21,832006.9295499998,832803.3286000001,754269.8145499995,885991.39735,840185.8271499998
2023-03-22,839472.7295499998,840128.2286,761037.3145499995,896577.4973500001,847724.3271499998
2023-03-23,857870.9295499998,864340.5286000001,777717.8145499995,918979.9973500001,866303.2271499997
2023-03-24,863266.9295499998,878394.1285999999,782611.6145499996,931538.5973500002,871752.0271499997
2023-03-27,856485.9295499998,876699.9286000001,776465.4145499995,929796.7973500001,864904.1271499996
2023-03-28,855307.1295499998,869762.1286,775396.5145499996,917138.5973500002,863715.2271499998
2023-03-29,860134.7295499998,874861.8286000001,779773.7145499995,919393.6973500003,868590.7271499997
2023-03-30,861249.9295499998,874737.9286000001,780784.0145499996,916783.3973500002,869717.7271499997
2023-03-31,869277.1295499998,886878.8286000001,788061.1145499996,931574.2973500001,877823.1271499998
2023-04-03,885889.3295499998,906783.6286,803120.5145499995,955516.69735,894597.6271499998
2023-04-04,896531.5295499999,911556.5286000001,812768.1145499996,959843.5973500002,905344.4271499998
2023-04-06,888000.9295499998,904532.8286000001,805035.1145499995,957106.6973500001,896728.8271499998
2023-04-07,892315.9295499998,912918.4286,808947.1145499995,967257.4973500001,901085.7271499997
2023-04-10,870285.7295499998,885844.9286000002,788973.7145499995,943321.9973500001,878838.9271499998
2023-04-11,870453.3295499997,882708.8286000001,789123.4145499995,947824.69735,879006.9271499997
2023-04-12,878163.1295499997,889387.9286000002,796110.1145499995,965792.59735,886790.4271499998
2023-04-13,866198.7295499998,868919.7286,785262.2145499996,943009.39735,874709.5271499997
2023-04-14,864033.3295499997,868679.1286,783299.5145499995,945279.19735,872522.1271499998
2023-04-17,869049.5295499999,869878.5286000001,787844.6145499995,946469.5973500002,877588.3271499998
2023-04-18,873174.9295499998,870155.8286000001,791583.2145499995,948701.2973500001,881754.1271499996
2023-04-19,872129.1295499997,866214.3286000001,790635.4145499994,945563.5973500002,880697.7271499998
2023-04-20,878588.5295499999,876295.5286000001,796491.9145499995,959734.3973500001,887219.3271499997
2023-04-21,854298.9295499998,842661.4286000001,774471.4145499996,924434.2973500001,862691.7271499997
2023-04-24,845915.3295499999,829587.1286,766870.7145499995,915217.3973500002,854224.9271499997
2023-04-25,851190.5295499999,829303.0286000001,771651.7145499995,912799.6973500001,859552.8271499997
2023-04-26,838032.7295499998,814651.7286,759721.8145499995,898189.9973500001,846266.3271499998
2023-04-27,836038.4856499998,812091.4318500003,757913.1410499995,895496.4498000003,844252.7740999998
2023-04-28,844163.1856499998,819979.9318500002,765277.4410499996,906741.1498000002,852460.4740999998
2023-05-04,857990.1856499997,833412.2318500002,777812.4410499994,915128.2498000003,866423.7740999998
2023-05-05,860171.4856499997,835531.0318500001,779789.9410499996,916620.5498000003,868627.1740999997
2023-05-08,881329.4856499997,856076.1318500002,798968.3410499996,942374.2498000001,889999.6740999997
2023-05-09,872950.8856499997,847939.8318500002,791373.5410499995,932889.9498000003,881536.3740999999
2023-05-10,860272.0856499996,835628.3318500002,779880.9410499996,918253.6498000004,868728.6740999997
2023-05-11,859266.5856499998,834651.7318500003,778969.4410499996,917861.5498000003,867713.0740999999
2023-05-12,851583.2856499997,827188.2318500002,772004.3410499995,911465.4498000002,859954.3740999998
2023-05-15,854725.2856499996,830240.9318500003,774852.7410499996,913821.3498000002,863126.4740999998
2023-05-16,852450.6856499997,828031.6318500002,772790.7410499996,912119.4498000003,860828.9740999998
2023-05-17,848866.6856499997,824550.2318500002,769541.7410499995,909354.8498000003,857209.5740999999
2023-05-18,855075.0856499998,830579.0318500001,775169.3410499995,916464.0498000002,863480.7740999998
2023-05-19,845084.9856499997,820876.5318500003,766113.4410499996,906994.0498000003,853390.6740999997
2023-05-22,842778.0856499998,818637.0318500001,764022.5410499997,903722.3498000002,851059.9740999998
2023-05-23,834825.5856499998,810913.3318500002,756813.6410499995,897122.4498000003,843027.8740999998
2023-05-24,826855.2856499997,803174.3318500002,749589.1410499995,886892.6498000002,834976.2740999998
2023-05-25,821594.5856499998,798064.4318500003,744820.2410499996,882053.5498000002,829663.5740999999
2023-05-26,818551.3856499996,795106.7318500002,742061.2410499995,880501.4498000003,826592.4740999998
2023-05-29,826085.1856499997,802423.3318500002,748890.4410499996,888364.8498000002,834201.8740999998
2023-05-30,824378.7856499997,800765.3318500002,747343.4410499996,887745.0498000002,832479.0740999997
2023-05-31,817338.2856499997,793931.2318500003,740962.3410499996,875882.8498000002,825365.3740999998
2023-06-01,817057.7856499997,793658.7318500003,740708.0410499995,876037.4498000003,825082.0740999999
2023-06-02,821283.2856499997,797763.4318500003,744538.5410499995,879259.0498000004,829348.7740999998
2023-06-05,821326.7856499997,797802.7318500002,744577.2410499995,883119.5498000003,829395.2740999997
2023-06-06,824011.3856499998,800412.0318500001,747011.2410499995,883835.1498000002,832104.7740999998
2023-06-07,825146.9856499998,801514.4318500003,748040.6410499996,884925.4498000003,833252.7740999998
2023-06-08,831457.4856499998,807641.3318500002,753760.5410499995,893268.8498000003,839628.0740999996
2023-06-09,831572.3856499997,807755.2318500002,753865.2410499996,891020.7498000002,839741.9740999998
2023-06-12,828451.3856499997,804724.9318500003,751036.2410499995,887641.4498000003,836588.6740999997
2023-06-13,825315.7856499997,801680.1318500002,748194.0410499995,883929.6498000002,833421.4740999998
2023-06-14,821784.0856499997,798249.2318500002,744992.3410499996,882087.1498000002,829854.9740999998
2023-06-15,821725.4856499997,798190.4318500002,744938.7410499995,883565.7498000003,829797.3740999998
2023-06-16,823819.2856499997,800225.6318500002,746837.1410499995,883100.6498000002,831910.5740999997
2023-06-19,820080.9856499997,796596.1318500002,743448.6410499995,878701.8498000002,828133.4740999998
2023-06-20,814212.5856499996,790897.5318500001,738129.2410499995,871924.6498000002,822205.6740999997
2023-06-21,810771.6856499997,787555.1318500002,735009.9410499996,869796.1498000002,818730.6740999997
2023-06-26,802229.1856499997,779259.3318500002,727266.4410499996,860965.3498000002,810101.8740999999
2023-06-27,814164.4856499997,790849.9318500003,738085.3410499996,873850.6498000004,822157.4740999998
2023-06-28,820233.0856499998,796742.8318500002,743586.1410499995,881434.9498000002,828287.3740999998
2023-06-29,815929.7645499997,792563.5753000001,739685.3801499994,876194.9191000003,823941.2608999996
2023-06-30,816802.7645499997,793411.6753000001,740476.7801499994,877132.3191000002,824822.8608999995
2023-07-03,823061.5645499998,799490.6753000001,746149.4801499995,883852.2191000002,831141.8608999995
2023-07-04,823669.4645499997,800081.8753000002,746701.1801499994,884505.4191000003,831756.4608999997
2023-07-05,821001.2645499997,797489.6753000001,744282.2801499994,881640.3191000002,829061.8608999995
2023-07-06,820639.3645499996,797137.9753,743954.0801499995,881251.6191000002,828696.2608999996
2023-07-07,814647.2645499997,791316.8753000002,738521.9801499995,874817.2191000001,822645.2608999996
2023-07-10,806496.4645499997,783398.9753000002,731133.2801499994,866065.1191000002,814414.6608999996
2023-07-11,814299.6645499996,790979.5753000001,738207.2801499995,874444.3191000002,822294.6608999997
2023-07-12,812374.2645499997,789108.8753000002,736461.5801499995,872376.6191000002,820350.0608999997
2023-07-13,822499.7645499997,798944.6753000002,745640.0801499995,883249.0191000002,830574.2608999996
2023-07-14,824215.5645499998,800611.0753000001,747194.9801499995,885090.9191000002,832306.4608999996
2023-07-17,827328.2645499997,803634.6753000001,750016.4801499995,888433.1191,835449.4608999996
2023-07-18,831510.8645499998,807697.2753000001,753807.5801499995,892924.0191000002,839672.4608999997
2023-07-19,840044.1645499998,815985.9753000003,761542.1801499994,902086.1191000002,848288.4608999996
2023-07-20,827777.4645499998,804069.7753000001,750422.3801499995,888914.4191000003,835901.6608999997
2023-07-21,816596.4645499998,793208.6753000002,740287.1801499994,876908.8191000002,824611.6608999998
2023-07-24,816993.2645499997,793593.8753000002,740646.5801499995,877334.6191000002,825012.0608999997
2023-07-25,818801.2645499997,795350.6753000002,742286.0801499994,879276.5191000002,826838.2608999996
2023-07-26,817699.6645499996,794280.1753000001,741287.0801499995,878093.3191000002,825725.4608999996
2023-07-27,820286.9645499997,796792.9753000003,743631.8801499994,880871.0191000002,828337.4608999996
2023-07-28,819756.8645499998,796278.4753000002,743151.8801499994,880302.3191000002,827802.6608999997
2023-07-31,829242.5645499998,805492.9753000002,751750.4801499995,890487.6191000001,837381.0608999996
2023-08-01,828701.2645499998,804966.7753000001,751259.3801499995,889906.0191000002,836834.0608999997
2023-08-02,822359.9645499997,798807.3753000002,745511.6801499994,883097.4191000002,830431.4608999997
2023-08-03,813367.8645499998,790072.8753000002,737360.9801499995,873442.4191000003,821352.0608999997
2023-08-04,821583.7645499997,798054.0753000001,744808.7801499994,882264.5191000002,829648.4608999996
2023-08-07,816807.5645499998,793414.6753000001,740479.4801499995,877136.2191000002,824825.8608999995
2023-08-08,813878.9645499997,790569.2753000001,737824.1801499994,873991.1191000002,821868.0608999997
2023-08-09,810801.1645499999,787579.1753000001,735033.8801499994,870686.0191000003,818759.8608999995
2023-08-10,806009.0645499998,782924.3753000002,730690.1801499994,865540.6191000002,813921.2608999996
2023-08-11,801910.6645499999,778942.4753000002,726974.3801499994,861139.4191000003,809782.0608999997
2023-08-14,799159.8645499998,776270.5753000001,724481.0801499995,858185.9191000003,807004.6608999997
2023-08-15,807709.0645499998,784574.6753000002,732230.0801499995,867365.1191000002,815636.6608999998
2023-08-16,796151.8645499998,773347.4753000002,721753.1801499994,854955.0191000004,803966.0608999997
2023-08-17,798453.4645499998,775584.2753000002,723840.5801499995,857427.2191000003,806291.2608999996
2023-08-18,783962.9645499998,761507.9753000002,710705.0801499994,841867.8191000002,791659.0608999997
2023-08-21,781923.2645499997,759526.0753000003,708855.5801499995,839677.2191000003,789598.8608999997
2023-08-22,793466.1645499999,770738.8753000002,719318.9801499995,852071.5191000002,801254.4608999997
2023-08-23,787524.8645499998,764966.6753000002,713932.4801499995,845691.3191000002,795254.2608999996
2023-08-24,801801.6257499997,778829.9477500002,726874.2367499995,861017.2921,809671.0668999997
2023-08-25,802334.2257499998,760531.6477500002,727357.8367499994,861586.2921000001,810211.8668999998
2023-08-28,808861.5257499997,773927.0477500001,733276.9367499993,868586.8920999999,816807.6668999997
2023-08-29,807369.8257499996,775290.6477500002,731926.8367499994,866976.2921000001,815303.0668999997
2023-08-30,800958.8257499997,778357.3477500002,726112.0367499994,860104.7921,808821.2668999998
2023-08-31,796908.6257499997,775439.2477500002,722440.2367499993,855756.4921000001,804728.2668999997
2023-09-01,796596.6257499997,775472.0477500001,722159.2367499993,855414.1920999999,804416.4668999997
2023-09-04,798861.4257499997,778902.7477500002,724216.4367499994,857829.0921,806708.6668999997
2023-09-05,796745.7257499998,776013.8477500002,722297.3367499994,855562.0921,804569.6668999996
2023-09-06,795557.5257499997,775990.1477500002,721221.5367499994,854280.9920999999,803371.8668999997
2023-09-07,793828.1257499997,770797.9477500002,719655.9367499993,852415.4920999999,801628.4668999997
2023-09-08,797302.4257499997,774317.3477500002,722804.0367499993,856151.0921,805132.2668999997
2023-09-11,801884.0257499997,775426.5477500001,726957.2367499993,861070.7921,809758.8668999997
2023-09-12,799025.4257499997,775668.2477500002,724365.6367499995,858002.2921000002,806871.0668999997
2023-09-13,796987.8257499997,767078.1477500001,722516.8367499993,855820.9921000001,804809.2668999997
2023-09-14,800296.3257499996,771475.8477500002,725515.1367499994,859376.4921,808146.0668999997
2023-09-15,796450.7257499998,773624.8477500002,722029.9367499994,855244.4921,804267.6668999997
2023-09-18,794190.1257499997,764727.4477500003,719982.5367499995,852810.0921,801989.6668999997
2023-09-19,796526.1257499997,764456.5477500001,722100.3367499993,855316.9920999999,804345.8668999998
2023-09-20,797440.6257499997,763638.3477500002,722930.0367499993,856295.4920999999,805267.0668999997
2023-09-21,794909.5257499997,752441.2477500002,720634.3367499994,853582.8921,802710.0668999997
2023-09-22,801396.9257499997,755084.8477500002,726516.3367499993,860544.7921,809266.2668999997
2023-09-25,796072.9257499997,749259.6477500002,721690.5367499994,854825.7921000001,803887.4668999998
2023-09-26,796134.2257499998,745596.3477500002,721748.0367499994,854883.8920999999,803952.6668999997
2023-09-27,791794.4257499997,744638.4477500002,717817.8367499994,850209.5921,799582.0668999997
2023-09-28,786840.9257499997,742231.2477500002,713319.9367499994,844922.2921,794574.8668999998
2023-10-09,781972.0257499997,746398.0477500003,708904.8367499993,839700.3921,789658.0668999997
2023-10-10,777561.2257499996,752995.7477500002,704907.6367499994,834960.2921,785210.6668999998
2023-10-11,776961.5257499997,756504.7477500002,704367.1367499994,834303.5921,784609.0668999997
2023-10-12,781984.5257499997,763193.0477500001,708920.7367499993,839695.6921,789679.2668999997
2023-10-13,780406.0257499997,757682.5477500003,707488.4367499994,838005.9921,788081.2668999997
2023-10-16,783189.5257499997,752210.3477500002,710011.5367499994,840994.4921,790886.8668999998
2023-10-17,787761.0257499997,759267.9477500002,714156.4367499994,845899.6921,795503.4668999997
2023-10-18,790017.2257499996,756342.6477500002,716202.0367499994,848320.1920999999,797778.4668999997
2023-10-19,789367.8257499996,748225.1477500002,715616.4367499994,847609.9921,797124.8668999998
2023-10-20,793375.3257499997,743071.2477500002,719247.9367499994,851917.5921,801165.4668999998
2023-10-23,785653.8257499996,733362.8477500002,712246.8367499994,843632.8920999999,793366.6668999997
2023-10-24,794064.0257499997,744600.1477500002,719871.4367499994,852660.7921000001,801862.0668999997
2023-10-25,793024.3257499997,742814.9477500002,718926.9367499994,851552.7921000002,800810.6668999997
2023-10-26,795043.5257499997,727403.6477500002,720755.3367499993,853728.4921,802843.6668999997
2023-10-27,796142.4739999997,729912.9065000002,721752.3110999995,854905.39965,803954.1523999998
2023-10-30,808299.8739999996,736270.7065000002,732773.7110999995,867959.1996499998,816230.3523999997
2023-10-31,808055.5739999996,737366.6065000002,732552.2110999995,867696.29965,815982.8523999997
2023-11-01,804033.0739999996,733982.1065000001,728905.7110999995,863377.9996499999,811921.9523999998
2023-11-02,800433.6739999996,731569.3065000002,725642.7110999995,859512.59965,808286.3523999997
2023-11-03,805901.9739999997,735380.4065000002,730599.8110999996,865384.29965,813808.8523999997
2023-11-06,815494.8739999996,749643.7065000001,739296.5110999995,875686.19965,823497.6523999998
2023-11-07,812879.6739999996,747748.3065000002,736925.7110999995,872878.9996499999,820858.0523999997
2023-11-08,816054.6739999996,746454.3065000002,739804.1110999994,876289.1996499998,824065.5523999997
2023-11-09,810072.8739999996,741553.7065000001,734381.5110999995,869867.79965,818026.9523999998
2023-11-10,809595.7739999996,742728.0065000001,733948.8110999995,869353.6996500001,817542.8523999999
2023-11-13,807314.5739999997,737739.6065000002,731880.6110999995,866904.8996499998,815240.5523999999
2023-11-14,811105.5739999996,742138.6065000001,735317.0110999994,870974.2996499998,819067.6523999998
2023-11-15,814145.8739999996,746257.7065000001,738073.3110999995,874237.9996499999,822136.3523999997
2023-11-16,804019.6739999996,738421.3065000002,728893.5110999995,863365.79965,811911.7523999996
